61258805,1434930130,55.2966666666667,171.607027777778,224.0,0.1.3,3,0,0,225,0,0,0
61258807,1434931939,-54.56525,139.888527777778,149.0,0.1.3,3,980,0,2081,0,0,0
61258809,1434933743,-13.2956388888889,-33.7113611111111,198.0,0.1.3,3,134,0,538,0,0,0
61258811,1434935538,78.9301111111111,-174.460166666667,50.0,0.1.3,3,237,0,473,0,0,0
61258813,1434937330,-27.5793888888889,124.949555555556,218.0,0.1.3,3,5,0,225,0,0,0
61258815,1434939145,-39.7661944444444,-51.1794166666667,221.0,0.1.3,3,9673,9,31195,1,0,3
61258817,1434940945,69.0265277777778,-88.2599444444444,140.0,0.1.3,3,759,0,1702,0,0,0
61258819,1434942730,0.887111111111111,106.727111111111,225.0,0.1.3,3,0,0,225,0,0,0
61258821,1434944530,-66.6834166666667,-60.6959722222222,223.0,0.1.3,3,0,0,226,0,0,0
61258823,1434946330,42.2080555555556,-95.8035833333333,235.0,0.1.3,3,584,0,1598,0,0,0
61258825,1434948130,25.8244166666667,88.4413055555556,225.0,0.1.3,3,0,0,225,0,0,0
61258827,1434949945,-80.6544166666667,13.4975833333333,130.0,0.1.3,3,967,0,2399,0,0,0
61258829,1434951730,15.6060555555556,-112.99025,225.0,0.1.3,3,0,0,226,0,0,0
61258831,1434953530,52.3418333333333,72.8476666666667,224.0,0.1.3,3,0,0,225,0,0,0
61258833,1434955342,-57.6825833333333,40.87625,156.0,0.1.3,3,1086,0,2756,0,0,0
61258835,1434957130,-11.0787777777778,-131.483361111111,224.0,0.1.3,3,0,0,225,0,0,0
61258837,1434958943,76.5005555555556,77.0801666666667,66.0,0.1.3,3,261,2,638,0,0,0
61258839,1434960730,-30.5839444444444,26.8841944444444,232.0,0.1.3,3,97,0,421,0,0,0
61258841,1434962530,-37.68525,-149.108083333333,222.0,0.1.3,3,1,0,225,0,0,0
61258843,1434964344,71.7155,170.391527777778,203.0,0.1.3,3,2904,2,6318,0,0,0
61258845,1434966130,-3.90363888888889,8.79794444444445,213.0,0.1.3,3,8,0,223,0,0,0
61258847,1434967942,-63.1333333333333,-161.304555555556,23.0,0.1.3,3,144,1,462,0,0,0
61258849,1434969730,45.1913611111111,165.863305555556,206.0,0.1.3,3,9,0,220,0,0,0
61258851,1434971530,22.8136666666667,-9.57791666666667,225.0,0.1.3,3,0,0,225,0,0,0
61258853,1434973345,-81.5588888888889,-102.88675,214.0,0.1.3,3,3845,2,8516,0,0,2
61258855,1434975130,18.6151111111111,149.04,224.0,0.1.3,3,0,0,227,0,0,0
61258857,1434976930,49.3744722222222,-25.7518055555556,221.0,0.1.3,3,0,1,223,0,0,0
61258859,1434978730,-59.8950277777778,-57.8088055555556,230.0,0.1.3,3,36,0,1001,0,0,0
61258861,1434980530,-8.06869444444444,130.576472222222,225.0,0.1.3,3,0,0,225,0,0,0
